software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,Rod,5000,0.8239688812052358,0.953554841014648,0.5338,377999,130,2331,2669,2,"['ENSG00000278570', 'ENSG00000257165']","['ENSG00000255553', 'ENSG00000278570', 'ENSG00000198515', 'ENSG00000257165', 'ENSG00000185527', 'ENSG00000133256', 'ENSG00000156194', 'ENSG00000254951', 'ENSG00000129221', 'ENSG00000070729']",0.2100583016872406
4.1,author_cell_type,ML_Cone,5000,0.7224,0.9632,0.3612,378060,69,3194,1806,2,"['ENSG00000102076', 'ENSG00000120500']","['ENSG00000102076', 'ENSG00000285842', 'ENSG00000114124', 'ENSG00000259221', 'ENSG00000120500', 'ENSG00000170289', 'ENSG00000101977', 'ENSG00000164318', 'ENSG00000038945', 'ENSG00000253496']",0.748731791973114
4.1,author_cell_type,S_Cone,5000,0.9407648334318944,0.9986921266021448,0.7636,378124,5,1182,3818,2,"['ENSG00000128617', 'ENSG00000250421']","['ENSG00000128617', 'ENSG00000124839', 'ENSG00000074803', 'ENSG00000249736', 'ENSG00000250421', 'ENSG00000100024', 'ENSG00000249364', 'ENSG00000170289', 'ENSG00000186007', 'ENSG00000120500']",0.8156905770301819
4.1,author_cell_type,DB3b,5000,0.7286995515695067,0.8973252804141502,0.416,377891,238,2920,2080,2,"['ENSG00000249803', 'ENSG00000279240']","['ENSG00000228933', 'ENSG00000129167', 'ENSG00000249803', 'ENSG00000251574', 'ENSG00000279240', 'ENSG00000165084', 'ENSG00000251141', 'ENSG00000110693', 'ENSG00000162946', 'ENSG00000171189']",0.3661690950393677
4.1,author_cell_type,DB2,5000,0.8265771472004054,0.967741935483871,0.522,378042,87,2390,2610,2,"['ENSG00000163377', 'ENSG00000147862']","['ENSG00000130635', 'ENSG00000267055', 'ENSG00000243004', 'ENSG00000249803', 'ENSG00000163377', 'ENSG00000147862', 'ENSG00000171189', 'ENSG00000162946', 'ENSG00000136267', 'ENSG00000042813']",0.1103941723704338
4.1,author_cell_type,HAC18,5000,0.718482167542162,0.8783269961977186,0.4158,377841,288,2921,2079,2,"['ENSG00000226965', 'ENSG00000041515']","['ENSG00000146477', 'ENSG00000178031', 'ENSG00000140287', 'ENSG00000226965', 'ENSG00000041515', 'ENSG00000254226', 'ENSG00000122870', 'ENSG00000089169', 'ENSG00000126733', 'ENSG00000168386']",0.1567791551351547
4.1,author_cell_type,HAC28,5000,0.614841745081266,0.7642888790429774,0.345,377597,532,3275,1725,3,"['ENSG00000214402', 'ENSG00000178722', 'ENSG00000254226']","['ENSG00000214402', 'ENSG00000122585', 'ENSG00000235162', 'ENSG00000178722', 'ENSG00000286749', 'ENSG00000254226', 'ENSG00000144668', 'ENSG00000104043', 'ENSG00000144893', 'ENSG00000152910']",0.2128066271543502
4.1,author_cell_type,HAC66,588,0.5200501253132832,0.6587301587301587,0.282312925170068,382455,86,422,166,3,"['ENSG00000122585', 'ENSG00000132915', 'ENSG00000047617']","['ENSG00000122585', 'ENSG00000132915', 'ENSG00000130561', 'ENSG00000047617', 'ENSG00000188107', 'ENSG00000198691', 'ENSG00000162946', 'ENSG00000082438', 'ENSG00000144893', 'ENSG00000079819']",0.0353327319025993
4.1,author_cell_type,HAC24,5000,0.6785907492561536,0.8201879852881079,0.4014,377689,440,2993,2007,3,"['ENSG00000122585', 'ENSG00000225811', 'ENSG00000241684']","['ENSG00000122585', 'ENSG00000153930', 'ENSG00000225811', 'ENSG00000177822', 'ENSG00000174944', 'ENSG00000241684', 'ENSG00000162670', 'ENSG00000144893', 'ENSG00000150394', 'ENSG00000152910']",0.1364485919475555
4.1,author_cell_type,HAC86,94,0.6045751633986928,0.6981132075471698,0.3936170212765957,383019,16,57,37,4,"['ENSG00000251680', 'ENSG00000287881', 'ENSG00000145555', 'ENSG00000257165']","['ENSG00000228495', 'ENSG00000251680', 'ENSG00000103528', 'ENSG00000287881', 'ENSG00000145555', 'ENSG00000257165', 'ENSG00000112419', 'ENSG00000154080', 'ENSG00000132915', 'ENSG00000170624']",0.2578072547912597
4.1,author_cell_type,HAC64,668,0.6024096385542169,0.8064516129032258,0.2994011976047904,382413,48,468,200,3,"['ENSG00000171502', 'ENSG00000173068', 'ENSG00000081479']","['ENSG00000150760', 'ENSG00000081803', 'ENSG00000171502', 'ENSG00000173068', 'ENSG00000246662', 'ENSG00000081479', 'ENSG00000072657', 'ENSG00000152214', 'ENSG00000184838', 'ENSG00000152910']",0.1199020892381668
4.1,author_cell_type,HAC20,5000,0.7337461300309598,0.9575757575757576,0.3792,378045,84,3104,1896,2,"['ENSG00000254101', 'ENSG00000285681']","['ENSG00000254101', 'ENSG00000233639', 'ENSG00000285681', 'ENSG00000271860', 'ENSG00000163377', 'ENSG00000151892', 'ENSG00000145451', 'ENSG00000250387', 'ENSG00000132321', 'ENSG00000081479']",0.3382897973060608
4.1,author_cell_type,HAC92,65,0.0346020761245674,0.028391167192429,0.2769230769230769,382448,616,47,18,3,"['ENSG00000251504', 'ENSG00000198914', 'ENSG00000133107']","['ENSG00000251504', 'ENSG00000198914', 'ENSG00000133107', 'ENSG00000254101', 'ENSG00000233639', 'ENSG00000285681', 'ENSG00000254951', 'ENSG00000271860', 'ENSG00000132915', 'ENSG00000145451']",0.6440948247909546
4.1,author_cell_type,HAC79,186,0.0408580183861082,0.0333194502290712,0.4301075268817204,380622,2321,106,80,3,"['ENSG00000133454', 'ENSG00000134853', 'ENSG00000146648']","['ENSG00000133454', 'ENSG00000146674', 'ENSG00000134853', 'ENSG00000231160', 'ENSG00000146648', 'ENSG00000072201', 'ENSG00000132915', 'ENSG00000047617', 'ENSG00000188107', 'ENSG00000110436']",0.2522085905075073
4.1,author_cell_type,HAC3,5000,0.6606739761367301,0.8854673149648838,0.3278,377917,212,3361,1639,2,"['ENSG00000133454', 'ENSG00000134853']","['ENSG00000146674', 'ENSG00000133454', 'ENSG00000134853', 'ENSG00000255595', 'ENSG00000231160', 'ENSG00000072201', 'ENSG00000187720', 'ENSG00000110436', 'ENSG00000152377', 'ENSG00000109790']",0.3579527735710144
4.1,author_cell_type,HAC71,502,0.6790945406125166,0.816,0.4063745019920319,382581,46,298,204,3,"['ENSG00000146674', 'ENSG00000134853', 'ENSG00000166342']","['ENSG00000146674', 'ENSG00000133454', 'ENSG00000134853', 'ENSG00000146648', 'ENSG00000080200', 'ENSG00000166342', 'ENSG00000186297', 'ENSG00000155307', 'ENSG00000171189', 'ENSG00000152377']",0.2369790077209472
4.1,author_cell_type,HAC63,677,0.6582482536270822,0.8277027027027027,0.361890694239291,382401,51,432,245,3,"['ENSG00000077522', 'ENSG00000140287', 'ENSG00000166342']","['ENSG00000077522', 'ENSG00000140287', 'ENSG00000166342', 'ENSG00000155307', 'ENSG00000101542', 'ENSG00000136267', 'ENSG00000171189', 'ENSG00000118733', 'ENSG00000168386', 'ENSG00000161381']",0.1899997293949127
4.1,author_cell_type,HAC4,5000,0.5516378525932666,0.6166560712015258,0.388,376923,1206,3060,1940,3,"['ENSG00000140287', 'ENSG00000178722', 'ENSG00000204767']","['ENSG00000255132', 'ENSG00000077522', 'ENSG00000140287', 'ENSG00000178722', 'ENSG00000226965', 'ENSG00000204767', 'ENSG00000187720', 'ENSG00000154678', 'ENSG00000101542', 'ENSG00000120549']",0.1819066703319549
