clusterName,gene
HAC42,ENSG00000152784
HAC91,ENSG00000144227
HAC91,ENSG00000271774
HAC91,ENSG00000185483
HAC91,ENSG00000146376
HAC91,ENSG00000151952
HAC50,ENSG00000165105
HAC50,ENSG00000144227
HAC95,ENSG00000248307
HAC95,ENSG00000139292
HAC95,ENSG00000254951
HAC95,ENSG00000237978
HAC74,ENSG00000144227
HAC74,ENSG00000166342
HAC74,ENSG00000182463
HAC74,ENSG00000151952
HAC74,ENSG00000155307
HAC17,ENSG00000248510
HAC17,ENSG00000271774
HAC2,ENSG00000125869
HAC2,ENSG00000073792
HAC2,ENSG00000182463
HAC90,ENSG00000101974
HAC90,ENSG00000144227
HAC90,ENSG00000132915
HAC90,ENSG00000271774
VG3*,ENSG00000173068
VG3*,ENSG00000241956
VG3*,ENSG00000166342
SEG,ENSG00000007062
SEG,ENSG00000108001
SEG*,ENSG00000008441
SEG*,ENSG00000119042
SEG*,ENSG00000132915
HAC12,ENSG00000008441
HAC12,ENSG00000241956
HAC21,ENSG00000107593
HAC21,ENSG00000259417
HAC84,ENSG00000152034
HAC84,ENSG00000253693
HAC84,ENSG00000132915
HAC84,ENSG00000146376
VG3,ENSG00000122584
VG3,ENSG00000173068
AII,ENSG00000113504
AII,ENSG00000237928
AII*,ENSG00000113504
AII*,ENSG00000188107
AII*,ENSG00000198691
20,ENSG00000164309
20,ENSG00000140470
MG_ON,ENSG00000221818
MG_ON,ENSG00000184347
MG_OFF,ENSG00000110693
MG_OFF,ENSG00000175471
MG_OFF,ENSG00000108018
0,ENSG00000277586
0,ENSG00000162599
0,ENSG00000166922
0,ENSG00000171724
HRGC4,ENSG00000160299
HRGC5,ENSG00000286637
HRGC5,ENSG00000225937
HRGC3,ENSG00000162772
HRGC3,ENSG00000110660
HRGC3,ENSG00000136383
ipRGC_1,ENSG00000122375
ipRGC_1,ENSG00000164532
PG_ON,ENSG00000134871
PG_ON,ENSG00000172995
19,ENSG00000172995
19,ENSG00000022355
19,ENSG00000110693
9,ENSG00000150556
9,ENSG00000118557
ON_DSGC,ENSG00000173068
ON_DSGC,ENSG00000226149
ipRGC_2,ENSG00000112038
ipRGC_2,ENSG00000165078
16,ENSG00000152527
16,ENSG00000221818
15,ENSG00000151388
15,ENSG00000172995
1,ENSG00000235531
1,ENSG00000112902
4,ENSG00000224141
4,ENSG00000112893
3,ENSG00000235531
3,ENSG00000255595
17_21,ENSG00000226149
17_21,ENSG00000140479
14,ENSG00000204161
14,ENSG00000140563
18,ENSG00000228824
18,ENSG00000225206
18,ENSG00000228566
PG_OFF_2,ENSG00000072315
PG_OFF_2,ENSG00000171502
H2,ENSG00000136842
H2,ENSG00000153976
H1,ENSG00000205922
