clusterName,gene
Sst_5,ENSG00000122585
Sst_5,ENSG00000151388
Sst_5,ENSG00000152953
Sst_32,ENSG00000164120
Sst_32,ENSG00000181195
Sst_32,ENSG00000064655
Sst_32,ENSG00000152953
Sst_32,ENSG00000134250
Sst_25,ENSG00000181195
Sst_25,ENSG00000152953
Sst_25,ENSG00000112319
Sst_33,ENSG00000104327
Sst_33,ENSG00000153162
Sst_33,ENSG00000147246
Sst_4,ENSG00000168079
Sst_4,ENSG00000146374
Sst_4,ENSG00000154864
Sst_4,ENSG00000003096
Sst_10,ENSG00000196549
Sst_10,ENSG00000109255
Sst_10,ENSG00000172987
Sst_14,ENSG00000162733
Sst_14,ENSG00000197635
Sst_14,ENSG00000154864
Sst_14,ENSG00000166268
Sst_14,ENSG00000089250
Sst_7,ENSG00000154864
Sst_7,ENSG00000172987
Sst_7,ENSG00000188107
Sst_6,ENSG00000151611
Sst_6,ENSG00000057657
Sst_6,ENSG00000146374
Sst_6,ENSG00000187664
Sst_18,ENSG00000186867
Sst_18,ENSG00000168081
Sst_18,ENSG00000189056
Sst_18,ENSG00000171724
Sst_27,ENSG00000151617
Sst_27,ENSG00000164946
Sst_27,ENSG00000198786
Sst_27,ENSG00000142634
Sst_22,ENSG00000137672
Sst_22,ENSG00000164946
Sst_15,ENSG00000166268
Sst_15,ENSG00000198682
Sst_15,ENSG00000169064
Sst_15,ENSG00000071205
Sst_15,ENSG00000137393
Sst_2,ENSG00000164120
Sst_2,ENSG00000143248
Sst_37,ENSG00000168079
Sst_37,ENSG00000112414
Sst_37,ENSG00000145708
Sst_11,ENSG00000007062
Sst_11,ENSG00000112414
Sst_11,ENSG00000185483
Sst_8,ENSG00000169302
Sst_8,ENSG00000189056
Sst_9,ENSG00000151617
Sst_9,ENSG00000047648
Sst_9,ENSG00000164946
Sst_9,ENSG00000183580
Sst_29,ENSG00000186867
Sst_29,ENSG00000154864
Sst_29,ENSG00000151617
Pvalb_5,ENSG00000152315
Pvalb_5,ENSG00000019991
Pvalb_5,ENSG00000082438
Pvalb_3,ENSG00000110975
Pvalb_3,ENSG00000011201
Pvalb_3,ENSG00000154188
Pvalb_3,ENSG00000174145
Sst_31,ENSG00000104327
Sst_31,ENSG00000054803
Sst_31,ENSG00000143248
Sst_24,ENSG00000069869
Sst_24,ENSG00000153162
Sst_24,ENSG00000006128
Pvalb_7,ENSG00000051128
Pvalb_7,ENSG00000086991
Pvalb_7,ENSG00000100362
Pvalb_7,ENSG00000049323
Sst_3,ENSG00000152284
Sst_3,ENSG00000119547
Sst_3,ENSG00000137252
Sst_16,ENSG00000056291
Sst_16,ENSG00000227115
Sst_16,ENSG00000134215
Sst_36,ENSG00000213949
Sst_36,ENSG00000116117
Sst_36,ENSG00000138829
Sst_36,ENSG00000179399
Pvalb_2,ENSG00000196091
Pvalb_2,ENSG00000114200
Pvalb_2,ENSG00000075223
Pvalb_1,ENSG00000196091
Pvalb_1,ENSG00000146592
Pvalb_1,ENSG00000174948
Sst_1,ENSG00000138653
Sst_1,ENSG00000038427
Sst_1,ENSG00000137672
Sst_19,ENSG00000180176
Sst_19,ENSG00000129595
Sst_13,ENSG00000262655
Sst_13,ENSG00000138829
Sst_28,ENSG00000007062
Sst_28,ENSG00000138653
Sst_28,ENSG00000113532
Sst_23,ENSG00000137252
Sst_23,ENSG00000262655
Sst_23,ENSG00000138829
L6 IT Car3_2,ENSG00000115593
L6 IT Car3_2,ENSG00000196358
L6 IT Car3_1,ENSG00000135447
L6 IT Car3_1,ENSG00000115593
L6 IT Car3_1,ENSG00000129009
L6 IT_1,ENSG00000132386
L6 IT_1,ENSG00000129009
L6 IT_1,ENSG00000135447
L6 IT_1,ENSG00000224982
L6 IT_1,ENSG00000172673
L6 IT_2,ENSG00000224982
L6 IT_2,ENSG00000156140
L6 IT_2,ENSG00000172673
L5 IT_1,ENSG00000103196
L5 IT_1,ENSG00000175040
L5 IT_1,ENSG00000168743
L5 IT_1,ENSG00000153266
L6b_6,ENSG00000165816
L6b_6,ENSG00000164142
L6b_6,ENSG00000137573
L6b_4,ENSG00000168743
L6b_4,ENSG00000253868
L6b_4,ENSG00000187147
L6b_2,ENSG00000056291
L6b_2,ENSG00000153993
L6b_1,ENSG00000138356
L6b_1,ENSG00000153993
L6b_1,ENSG00000157554
L6b_1,ENSG00000122012
L6b_5,ENSG00000182379
L6b_5,ENSG00000153993
L6b_5,ENSG00000153234
L6b_5,ENSG00000115756
L2/3 IT_4,ENSG00000078098
L2/3 IT_4,ENSG00000143858
L2/3 IT_4,ENSG00000204262
L2/3 IT_2,ENSG00000115457
L2/3 IT_2,ENSG00000143858
L2/3 IT_2,ENSG00000135426
L2/3 IT_6,ENSG00000256193
L2/3 IT_6,ENSG00000115756
L5 ET_3,ENSG00000169856
L5 ET_3,ENSG00000115596
L5 ET_3,ENSG00000168398
L5 ET_1,ENSG00000167332
L5 ET_1,ENSG00000181381
L5 IT_3,ENSG00000180801
L5 IT_3,ENSG00000104722
L5 IT_3,ENSG00000102468
L5 IT_4,ENSG00000198771
L5 IT_4,ENSG00000229807
L5 IT_4,ENSG00000179241
L5 IT_4,ENSG00000064692
L5 IT_2,ENSG00000038295
L5 IT_2,ENSG00000180801
L5 IT_2,ENSG00000154237
L4 IT_5,ENSG00000169436
L4 IT_5,ENSG00000223812
L5 IT_6,ENSG00000075884
L5 IT_6,ENSG00000056291
L5 IT_6,ENSG00000082438
L4 IT_1,ENSG00000184999
L4 IT_1,ENSG00000082438
L2/3 IT_5,ENSG00000211445
L2/3 IT_5,ENSG00000106018
L2/3 IT_5,ENSG00000164106
L2/3 IT_1,ENSG00000164099
L2/3 IT_1,ENSG00000106018
L2/3 IT_1,ENSG00000196569
L4 IT_3,ENSG00000188133
L4 IT_3,ENSG00000105976
L4 IT_3,ENSG00000183960
L2/3 IT_3,ENSG00000124782
L2/3 IT_3,ENSG00000138696
L2/3 IT_3,ENSG00000143858
Pvalb_6,ENSG00000137573
Pvalb_6,ENSG00000137393
Pvalb_6,ENSG00000167306
Pvalb_4,ENSG00000212907
Pvalb_4,ENSG00000143248
Pvalb_4,ENSG00000145708
Pvalb_8,ENSG00000178538
Pvalb_8,ENSG00000213626
Pvalb_8,ENSG00000223351
Pvalb_8,ENSG00000137573
Pvalb_9,ENSG00000100362
Pvalb_9,ENSG00000131398
Pvalb_9,ENSG00000143858
Pvalb_9,ENSG00000139190
Chandelier_1,ENSG00000204291
Chandelier_1,ENSG00000178538
L5/6 NP_4,ENSG00000141255
L5/6 NP_4,ENSG00000111186
L5/6 NP_4,ENSG00000165959
L5/6 NP_4,ENSG00000150051
L5/6 NP_4,ENSG00000147246
L5 ET_2,ENSG00000140557
L5 ET_2,ENSG00000124302
L5 ET_2,ENSG00000081479
L6 CT_3,ENSG00000137573
L6 CT_3,ENSG00000170381
L6 CT_2,ENSG00000185149
L6 CT_2,ENSG00000134207
L6 CT_2,ENSG00000137809
L6 CT_2,ENSG00000164125
L6 CT_1,ENSG00000133067
L6 CT_1,ENSG00000165816
L6 CT_1,ENSG00000153993
L6b_3,ENSG00000159307
L6b_3,ENSG00000152315
L6b_3,ENSG00000075429
L5/6 NP_2,ENSG00000188783
L5/6 NP_2,ENSG00000091664
L5/6 NP_2,ENSG00000100285
L5/6 NP_6,ENSG00000137252
L5/6 NP_6,ENSG00000174145
L5/6 NP_6,ENSG00000113361
L5/6 NP_6,ENSG00000179399
L5/6 NP_3,ENSG00000154134
L5/6 NP_3,ENSG00000162407
L5/6 NP_3,ENSG00000147246
L5/6 NP_3,ENSG00000157404
L5/6 NP_5,ENSG00000235770
L5/6 NP_5,ENSG00000114529
L5/6 NP_1,ENSG00000197085
L5/6 NP_1,ENSG00000186867
