clusterName,gene
Sst_8,RELN
Sst_9,EDNRA
Sst_9,ARHGAP6
Sst_9,FREM1
Sst_9,FBXL7
Sst_29,QRFPR
Sst_29,PIEZO2
Sst_29,EDNRA
Pvalb_5,KCNK13
Pvalb_5,HGF
Pvalb_5,COBLL1
Pvalb_3,SYT10
Pvalb_3,ANOS1
Pvalb_3,ANGPT1
Pvalb_3,NWD2
Sst_31,CALB1
Sst_31,CBLN4
Sst_31,RGS5
Sst_24,NEDD4
Sst_24,BMP6
Sst_24,TAC1
Pvalb_7,HOMER3
Pvalb_7,NOX4
Pvalb_7,PVALB
Pvalb_7,LTBP1
Sst_3,TCF7L1
Sst_3,ONECUT2
Sst_3,HCRTR2
Sst_16,NPFFR2
Sst_16,LINC01630
Sst_16,VAV3
Sst_36,ITGA1
Sst_36,PARD3B
Sst_36,FBN2
Sst_36,GPC5
Pvalb_2,MYBPC1
Pvalb_2,BCHE
Pvalb_2,SEMA3C
Pvalb_1,MYBPC1
Pvalb_1,CREB5
Pvalb_1,GPR149
Sst_1,NDST4
Sst_1,VCAN
Sst_1,TRPC6
Sst_19,TH
Sst_19,EPB41L4A
Sst_13,SPON1
Sst_13,FBN2
Sst_28,PROM1
Sst_28,NDST4
Sst_28,ST8SIA4
Sst_23,HCRTR2
Sst_23,SPON1
Sst_23,FBN2
L6 IT Car3_2,SMYD1
L6 IT Car3_2,NTNG2
L6 IT Car3_1,PPP1R1A
L6 IT Car3_1,SMYD1
L6 IT Car3_1,ISLR
L6 IT_1,SERPINF1
L6 IT_1,ISLR
L6 IT_1,PPP1R1A
L6 IT_1,TMEM233
L6 IT_1,THEMIS
L6 IT_2,TMEM233
L6 IT_2,ADAMTS3
L6 IT_2,THEMIS
L5 IT_1,CRISPLD2
L5 IT_1,CHST2
L5 IT_1,NPNT
L5 IT_1,FEZF2
L6b_6,VWA2
L6b_6,FHIP1A
L6b_6,SULF1
L6b_4,NPNT
L6b_4,FER1L6-AS2
L6b_4,RNF220
L6b_2,NPFFR2
L6b_2,SEMA3D
L6b_1,AOX1
L6b_1,SEMA3D
L6b_1,ERG
L6b_1,SV2C
L6b_5,NXPH4
L6b_5,SEMA3D
L6b_5,NR4A2
