,Airway smooth muscle cell,Alveolar fibroblast 1,Alveolar fibroblast 2,Alveolar macrophage,Alveolar type 1 cell,Alveolar type 2 cell,Arterial endothelial cell,B cell,Basal cell,CD4+ T cell,CD8+ T cell,Capillary 1 cell,Capillary 2 cell,Chondrocyte,Ciliated cell,Classical DC subset 1,Classical DC subset 2,Deuterosomal cell,Goblet cell,Inflammatory monocyte,Innate lymphoid cell,Interstitial macrophage,Ionocyte,Lymphatic endothelial cell,Mast/Basophil,Mature DC subset,Megakaryocyte/Platelet,Mesothelial cell,Mucous cell,Myoepithelial cell,Natural killer cell,Neutrophil,Patrolling monocyte,Pericyte,Plasma cell,Plasmacytoid DC,Pulmonary neuroendocrine cell,Respiratory airway secretory cell,SMG Basal/Duct cell,Secondary crest myofibroblast,Secretory cell,Serous cell,Suprabasal cell,Systemic venous endothelial cell,T regulatory cell,Tuft cell,Vascular smooth muscle cell,Venous endothelial cell
ECHS1,0.0,0.0,0.0,0.37166446,0.0,0.0,0.0,0.0,0.72042966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196941,0.92211795,0.0,0.0,0.0,0.96129274,0.0,0.0,0.0,0.0,0.0,1.0286,0.71697015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555945,0.0,0.27274716,0.79629517,0.90332544,0.0,0.0,0.95622677,0.0,0.0
RIC8A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMD13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28755713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3784858,0.34763408,0.0,0.0,0.0,0.49681023,0.0,0.0,0.0,0.0,0.0,0.21009263,0.3994729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42218196,0.0,0.0,0.0,0.39776218,0.0,0.0,0.4593907,0.0,0.0
IFITM2,0.0,0.0,1.9870872,0.0,0.0,1.0060312,2.77776,0.0,0.97535205,1.7246255,1.9625503,2.642966,1.9435568,0.0,0.0,0.0,1.2319124,0.0,0.0,1.3351411,1.7352252,0.0,0.0,2.0952637,1.3371567,0.0,0.0,2.381893,0.0,1.3276672,2.595773,4.395296,2.777053,1.5877167,0.0,0.0,0.0,0.66684115,0.44863486,0.97416925,0.72172356,0.0,0.24009834,2.2399416,1.2172484,0.0,1.7219784,2.5980725
IFITM1,0.0,0.0,0.0,0.0,0.0,0.0,0.92333823,0.0,0.66996264,0.0,1.5008578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59778994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9552658,0.0,0.0,0.0,0.0
IFITM3,1.4738175,0.0,2.8418603,0.7504748,0.0,1.6274793,3.6624382,0.0,2.06344,0.0,0.0,3.579154,3.2422867,1.5393721,0.54358983,0.0,1.1825812,0.3360423,0.9000732,0.0,0.0,0.0,1.0655919,2.806026,0.0,0.0,0.0,3.2101314,0.4312438,2.6887922,0.0,0.0,2.4059339,2.577877,0.0,0.0,0.0,1.6441627,1.4718411,2.1013837,1.5736874,0.27652287,1.0020047,3.0440183,0.0,0.38170606,2.539396,3.4600475
PKP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4149429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23764837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3045802,0.0,0.0,0.0,0.58720064,0.0,0.0,0.08810225,0.0,0.0
SIGIRR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17817953,0.16313851,0.0,0.0,0.0,0.511286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33191124,0.0,0.0,0.0,0.18695329,0.0,0.0,0.34153497,0.0,0.0
EPS8L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098689325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4235893,0.0,0.0,0.0,0.16866532,0.0,0.0,0.0,0.0,0.0
TALDO1,0.0,0.0,0.0,1.4143496,0.0,0.531226,0.0,0.0,1.1241995,0.0,0.0,0.0,0.0,0.0,0.95012885,0.0,0.7377508,0.97560906,1.1483071,0.9178385,0.0,0.0,1.1072922,0.0,0.0,0.0,2.0497422,0.0,0.97178805,0.92876995,0.0,1.9600132,0.8235651,0.0,0.0,0.0,0.0,0.0,1.0133033,0.0,0.39591527,0.5181347,1.3354758,0.0,0.0,1.118775,0.0,0.0
