celltype_level3_fullname,mean_silhouette,std_silhouette,median_silhouette,count
Airway smooth muscle cell,0.7958038673959584,0.24732756004987705,0.8644442677355532,485
Alveolar fibroblast 1,0.6018514587462049,0.18892474333300863,0.6892924663853119,5077
Alveolar fibroblast 2,0.4676354594977989,0.17590483257977213,0.5341865886518196,2537
Alveolar macrophage,0.5192099939056123,0.19321078834806982,0.5843934550858179,97466
Alveolar type 1 cell,0.6835274825131823,0.10328787880641947,0.7128767572027794,11815
Alveolar type 2 cell,0.5368804391009141,0.15643418270582252,0.5656080862609492,55756
Arterial endothelial cell,0.7721374200787474,0.10030491877234257,0.7910830886735156,3895
B cell,0.6817114960561064,0.13473042945414454,0.7228737566836555,3123
Basal cell,0.6903233012080466,0.18575870710408687,0.7504426586973494,12286
CD4+ T cell,-0.009584915031633029,0.13106100885658487,-0.032001174532998715,5629
CD8+ T cell,0.4240490705241522,0.22055524637404467,0.49595481200474434,3437
Capillary 1 cell,0.6221266623346753,0.1872892869399331,0.6692978943116683,13988
Capillary 2 cell,0.7389948710920256,0.11380294011889666,0.7684004415786581,6610
Chondrocyte,-0.943298284075504,0.007934213709230127,-0.9396853276002871,5
Ciliated cell,0.3333232867109382,0.17437679414458748,0.3801041640622059,13217
Classical DC subset 1,0.9135022071878413,0.059453735079310226,0.930669695577771,259
Classical DC subset 2,0.6531068272712647,0.15685962353540137,0.6970770242274915,2574
Deuterosomal cell,0.523119133688556,0.42717297530335196,0.7225766811028658,192
Goblet cell,0.7344715197318893,0.23562725242449184,0.8028761432903002,2452
Inflammatory monocyte,0.4405846080528262,0.23555144516210594,0.527742508241833,17902
Innate lymphoid cell,-0.3933767153701257,0.13162451515741844,-0.4075732721572267,14
Interstitial macrophage,0.5824618157654081,0.21596049792818964,0.6622991145930923,6150
Ionocyte,0.4639630552848626,0.32431988697196545,0.5493241696591811,158
Lymphatic endothelial cell,0.8173525779306147,0.059127027697538304,0.8219398747235775,3217
Mast/Basophil,0.7249620753871432,0.07198922003504418,0.7377655950870846,2843
Mature DC subset,0.7238678362930023,0.1907255444569245,0.7872555215934355,233
Megakaryocyte/Platelet,0.5738311176232029,0.3868011096142622,0.6859631566261543,35
Mesothelial cell,0.8345524908057266,0.23910550564918445,0.8701211424486976,105
Mucous cell,0.7408636680269758,0.2966567163819211,0.8336951732588969,721
Myoepithelial cell,0.4706648420911489,0.3528417441744763,0.5695660009847617,479
Natural killer cell,0.6050512693794053,0.2061502425138404,0.6758135573098885,8770
Neutrophil,-0.10625721091987639,0.3124046532700659,0.020898819688620066,231
Patrolling monocyte,0.8274324168179938,0.17543885393159847,0.8662116974081093,2181
Pericyte,0.7926521766863008,0.0874058361935907,0.8239121866083776,2311
Plasma cell,0.8102457482946379,0.06864160774451057,0.8287978135515097,2147
Plasmacytoid DC,0.9396289326609969,0.14360233369337222,0.9602631902246392,231
Pulmonary neuroendocrine cell,0.8746904979667737,0.09111786350206587,0.8874537191817096,1151
Respiratory airway secretory cell,0.5832837042252514,0.20150075610933577,0.6581958316273306,4206
SMG Basal/Duct cell,0.6776912682517836,0.2784757361861763,0.7876931394897047,958
Secondary crest myofibroblast,0.5843190291278937,0.2960285709497815,0.6832019408374812,774
Secretory cell,0.6392097867659843,0.21266683353959911,0.6884473626797646,2681
Serous cell,0.6153338767425309,0.2427789128817864,0.6881778080909247,2944
Suprabasal cell,0.2948670384865193,0.3143749468392289,0.41171849955762435,19286
Systemic venous endothelial cell,0.7379991399472601,0.15146117106218074,0.7742801003168056,4362
T regulatory cell,0.17353008184343255,0.3157938831038129,0.3507431691404327,252
Tuft cell,0.29428009579920544,0.39075457073167746,0.4518806146572202,84
Vascular smooth muscle cell,0.5711249795466826,0.1597387650689562,0.6367488698029524,2579
Venous endothelial cell,0.8002070386331677,0.11664462273341435,0.8106891501495073,4527
