software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,celltype_level3,Deuterosomal,202,0.8646112600536193,0.9485294117647058,0.6386138613861386,347761,7,73,129,2,"['CDC20B', 'DEUP1']","['CDC20B', 'FOXN4', 'SHISA8', 'PLK4', 'DEUP1', 'CDC20', 'NEK2', 'POGLUT3', 'MCIDAS', 'E2F7']",1.0
4.1,celltype_level3,Ciliated,13410,0.955840167392258,0.9883102154758788,0.8448173005219985,334426,134,2081,11329,2,"['C1orf194', 'C9orf24']","['TMEM190', 'SNTN', 'FAM92B', 'DYNLRB2', 'C1orf194', 'C9orf24', 'CAPSL', 'RSPH1', 'LRRIQ1', 'C9orf116']",0.6066411061189081
4.1,celltype_level3,AT1,12039,0.8732533978916869,0.9066798614547252,0.7610266633441316,334988,943,2877,9162,1,['RTKN2'],"['RTKN2', 'SCEL', 'AGER', 'ANKRD29', 'NCKAP5', 'CLIC5', 'COL4A3', 'ARHGEF26', 'NTM', 'LAMA3']",1.0
4.1,celltype_level3,AT2,59053,0.965899568344252,0.99058477521867,0.8783465700303118,288424,493,7184,51869,2,"['NAPSA', 'SFTPA1']","['NAPSA', 'SFTPD', 'LRRK2', 'PGC', 'ABCA3', 'SFTPA1', 'SFTPA2', 'PEBP4', 'WIF1', 'LAMP3']",0.9383229449775984
4.1,celltype_level3,RAS,4257,0.870294446515095,0.9003029468465987,0.767911674888419,343351,362,988,3269,2,"['SCGB3A2', 'SFTPB']","['SCGB3A2', 'SFTPA1', 'SFTPA2', 'SFTA2', 'SFTPB', 'SCGB1A1', 'KLK11', 'RNASE1', 'SFTPC', 'PIGR']",0.5021324740480266
4.1,celltype_level3,CAP2,7047,0.852101326501095,0.9617537313432836,0.5852135660564779,340759,164,2923,4124,2,"['EDNRB', 'EMCN']","['EDNRB', 'SOSTDC1', 'S100A3', 'B3GALNT1', 'EMCN', 'IL1RL1', 'CA4', 'HPGD', 'ICAM2', 'AQP1']",0.822103552981335
4.1,celltype_level3,CAP1,15066,0.7964252116650988,0.8891923117319609,0.5619275189167662,331849,1055,6600,8466,2,"['CA4', 'FCN3']","['SLC6A4', 'BTNL9', 'CD36', 'CA4', 'FCN3', 'NOSTRIN', 'NOTCH4', 'TMEM100', 'PTPRB', 'VWF']",0.4529778067567666
4.1,celltype_level3,AEC,4034,0.836578906371709,0.975920036347115,0.5324739712444224,343883,53,1886,2148,2,"['DKK2', 'GJA5']","['DKK2', 'GJA5', 'CXCL12', 'ENPP2', 'THSD7A', 'SOX17', 'EFNB2', 'HEY1', 'IGFBP3', 'SERPINE2']",1.0
4.1,celltype_level3,VEC,4776,0.677463503649635,0.8510028653295129,0.3731155778894472,342882,312,2994,1782,2,"['CCL23', 'SRPX']","['CCL23', 'PLA1A', 'ADGRG6', 'SELP', 'IL1R1', 'SRPX', 'ACKR1', 'MMRN1', 'C7', 'PTPRB']",0.7588866993729487
4.1,celltype_level3,SVEC,4609,0.7117082533589252,0.8811787072243346,0.4022564547624213,343111,250,2755,1854,2,"['PLVAP', 'CD34']","['PLVAP', 'CD34', 'ADGRL4', 'NRN1', 'DIPK2B', 'ACKR1', 'SNCG', 'VWF', 'DUSP23', 'EPAS1']",0.842785166333228
