gene,AEC,AF1,AF2,AM,ASMC,AT1,AT2,B,Basal,CAP1,CAP2,CD4 T,CD8 T,Chondrocyte,Ciliated,Deuterosomal,Goblet,ILC,IM,Ionocyte,LEC,MEC,Mast/Basophil,Megakaryocyte/Platelet,Mesothelial,Mucous,NK,Neutrophil,PNEC,Pericyte,Plasma,RAS,SCMF,SMG Basal/Duct,SVEC,Secretory,Serous,Suprabasal,Treg,Tuft,VEC,VSMC,cDC1,cDC2,iMON,maDC,pDC,pMON
FGFBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39973179740146736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6362398495158672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0562157452018464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGFBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714484423099353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2440766958238623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8040024241139263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.870311887550097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1630380719389743,0.0,0.0,0.45564092746847196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDB2,1.8459015520046842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7752846320245501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2774526992389028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8548349081798684,0.0,0.0,0.0,0.0,0.0,0.9862313171431767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QDPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14719002631274952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13794038376346093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAP3,0.9652163585751997,0.0,0.0,0.7869440574837409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2304725806573332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18183618928476675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28785300799073793,0.0,0.0,0.0,0.24006064115386527,0.0,0.0,0.0,0.0,0.5379745980810637,0.554642681667123,0.0,0.5039493761291594,0.0,0.0
MED28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23364226669375202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1995897011637125,0.0,0.0,0.0,0.21181225415456692,0.0,0.47166766030107116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLIT2,0.0,2.191202863324344,1.0295103171453537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHX15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21748631693715217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18379676334673997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2653283360481848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3073492305162027,0.0,0.0,0.0,0.2730844274828251,0.0,0.3473030841042676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOD3,0.0,0.0,1.3273006486058843,0.0,2.081939297190636,0.0,0.9582769471727076,0.0,0.0,0.0,0.0,0.0,0.0,3.5036893860557345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1863343674345588,0.0,0.0,0.0,0.3011374206048958,0.0,0.0,2.040201707884865,1.4602146441831263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5633354944904396,0.0,0.0,0.0,0.0,0.0,0.0
