CrossArea_cluster,mean_silhouette,std_silhouette,median_silhouette,count
Astro_1,-0.6015159886828237,0.12600030955053054,-0.6138430942618796,236
Astro_2,0.11936891439971743,0.2337331166107023,0.16901840918776193,271
Astro_3,0.14208035096889113,0.21654780771021598,0.19383890476513915,234
Astro_4,-0.06295369251528975,0.25354057956043674,-0.04011137708215598,242
Astro_5,0.3615901785771403,0.2621181397146391,0.4356598187927724,230
Chandelier_1,-0.1539211801029143,0.2636640914056294,-0.1590271745153762,278
Endo_1,0.7062452778588842,0.11561360919241277,0.7478443251096897,58
Endo_2,0.4375230479597359,0.32536610679148525,0.5429719811588134,284
L2/3 IT_1,-0.11506203269082231,0.18257374300913398,-0.12399045601288197,252
L2/3 IT_3,0.029928192934058736,0.22898534310994567,0.05729552792938708,500
L2/3 IT_4,-0.11016728889905358,0.2531283338252963,-0.08703612425706723,494
L2/3 IT_5,-0.5660990111475982,0.145298548246518,-0.5499047583481588,383
L2/3 IT_6,-0.5467428431075766,0.19265392703446865,-0.5819941491473257,266
L4 IT_1,0.06676636303647036,0.3675085885485591,0.19380412751203474,127
L4 IT_5,-0.40901590225101164,0.16266173143392731,-0.42690113793467277,340
L5 ET_1,0.40824471960873787,0.25217733226745936,0.5087551312108591,491
L5 ET_2,-0.24979453180713695,0.279559442683549,-0.2900148338198524,424
L5 ET_3,0.8260737000745705,0.03592996753821792,0.8310196142310973,7
L5 IT_1,0.37635974369876,0.23444923346181315,0.46656935291869456,122
L5 IT_2,-0.47007661723238636,0.2271192380062559,-0.5196125373022731,255
L5 IT_3,-0.2416925928095094,0.18215600094585144,-0.2676993805051512,170
L5 IT_6,-0.16024776888220776,0.2550803790512698,-0.20429790171567214,164
L5/6 NP_1,-0.5660734375237263,0.1155271190614344,-0.5920486707899393,266
L5/6 NP_2,0.5762812802649512,0.2456429068878066,0.6793912630650804,113
L5/6 NP_3,0.033195615968362735,0.26570326589405485,0.10224402341873391,384
L5/6 NP_4,0.46175049251235784,0.24372835340215718,0.568794555879082,21
L5/6 NP_5,0.26165306785545356,0.2802907238813102,0.38198113114127974,227
L5/6 NP_6,0.6163562109408237,0.18032148270349097,0.6686518188414119,498
L6 CT_1,0.1928509786349574,0.20442124754859636,0.2520913345958724,289
L6 CT_3,-0.43188486808740945,0.20896054942053843,-0.4339322596772346,328
