cluster,n_cells,percentage
Astro_1,236,0.69
Astro_2,271,0.79
Astro_3,234,0.68
Astro_4,242,0.7
Astro_5,230,0.67
Chandelier_1,278,0.81
Endo_1,58,0.17
Endo_2,284,0.83
L2/3 IT_1,252,0.73
L2/3 IT_3,500,1.45
L2/3 IT_4,494,1.44
L2/3 IT_5,383,1.11
L2/3 IT_6,266,0.77
L4 IT_1,127,0.37
L4 IT_5,340,0.99
L5 ET_1,491,1.43
L5 ET_2,424,1.23
L5 ET_3,7,0.02
L5 IT_1,122,0.35
L5 IT_2,255,0.74
L5 IT_3,170,0.49
L5 IT_6,164,0.48
L5/6 NP_1,266,0.77
L5/6 NP_2,113,0.33
L5/6 NP_3,384,1.12
L5/6 NP_4,21,0.06
L5/6 NP_5,227,0.66
L5/6 NP_6,498,1.45
L6 CT_1,289,0.84
L6 CT_3,328,0.95
L6 IT Car3_1,68,0.2
L6 IT Car3_2,156,0.45
L6 IT_1,53,0.15
L6 IT_2,301,0.87
L6b_1,34,0.1
L6b_2,308,0.9
L6b_3,61,0.18
L6b_4,255,0.74
L6b_5,191,0.56
L6b_6,301,0.87
Lamp5 Lhx6_1,270,0.78
Lamp5_1,339,0.99
Lamp5_2,343,1.0
Lamp5_3,231,0.67
Lamp5_4,259,0.75
Lamp5_5,270,0.78
Lamp5_6,288,0.84
Lamp5_7,276,0.8
Micro/PVM_1,232,0.67
OPC_1,228,0.66
Oligo_1,81,0.24
Oligo_2,268,0.78
Oligo_3,179,0.52
Oligo_4,229,0.67
Pax6_1,347,1.01
Pax6_2,290,0.84
Pax6_3,330,0.96
Pax6_4,290,0.84
Pvalb_1,243,0.71
Pvalb_2,294,0.85
Pvalb_3,205,0.6
Pvalb_4,286,0.83
Pvalb_5,293,0.85
Pvalb_6,272,0.79
Pvalb_7,13,0.04
Pvalb_8,271,0.79
Pvalb_9,103,0.3
Sncg_1,234,0.68
Sncg_2,265,0.77
Sncg_3,219,0.64
Sncg_4,292,0.85
Sncg_5,251,0.73
Sncg_6,283,0.82
Sncg_7,314,0.91
Sncg_8,139,0.4
Sst Chodl_1,320,0.93
Sst_1,261,0.76
Sst_10,280,0.81
Sst_11,284,0.83
Sst_12,236,0.69
Sst_13,265,0.77
Sst_14,11,0.03
Sst_15,77,0.22
Sst_16,260,0.76
Sst_17,337,0.98
Sst_18,214,0.62
Sst_19,295,0.86
Sst_2,264,0.77
Sst_21,299,0.87
Sst_22,296,0.86
Sst_23,200,0.58
Sst_24,342,0.99
Sst_25,129,0.37
Sst_26,306,0.89
Sst_27,316,0.92
Sst_28,274,0.8
Sst_29,251,0.73
Sst_3,7,0.02
Sst_30,319,0.93
Sst_31,206,0.6
Sst_32,176,0.51
Sst_33,249,0.72
Sst_35,288,0.84
Sst_36,316,0.92
Sst_37,360,1.05
Sst_4,394,1.15
Sst_5,260,0.76
Sst_6,7,0.02
Sst_7,238,0.69
Sst_8,184,0.53
Sst_9,244,0.71
VLMC_1,87,0.25
VLMC_2,222,0.65
Vip_1,201,0.58
Vip_10,265,0.77
Vip_11,242,0.7
Vip_12,192,0.56
Vip_13,251,0.73
Vip_14,292,0.85
Vip_15,295,0.86
Vip_16,307,0.89
Vip_17,301,0.87
Vip_18,285,0.83
Vip_19,239,0.69
Vip_2,236,0.69
Vip_20,236,0.69
Vip_21,261,0.76
Vip_22,11,0.03
Vip_23,223,0.65
Vip_24,201,0.58
Vip_25,249,0.72
Vip_26,282,0.82
Vip_27,257,0.75
Vip_28,175,0.51
Vip_29,46,0.13
Vip_3,270,0.78
Vip_4,265,0.77
Vip_5,242,0.7
Vip_6,311,0.9
Vip_7,261,0.76
Vip_8,327,0.95
Vip_9,200,0.58
