software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,CrossArea_cluster,L5/6 NP_3,384,0.4963617463617463,0.4961038961038961,0.4973958333333333,33828,194,193,191,3,"['ROBO3', 'GDNF-AS1', 'PLPP3']","['IFNG-AS1', 'ROBO3', 'GDNF-AS1', 'NPSR1-AS1', 'TLL1', 'PLPP3', 'SEMA5B', 'HTR4', 'TSHZ2', 'CPNE4']",0.1669193357229232
4.1,CrossArea_cluster,L5/6 NP_6,498,0.7356857523302264,0.8804780876494024,0.4437751004016064,33878,30,277,221,3,"['NPSR1-AS1', 'SPON1', 'COL24A1']","['VEGFC', 'NPSR1-AS1', 'FER1L6-AS2', 'ATP2C2', 'SPON1', 'COL24A1', 'NWD2', 'CDH6', 'GPC5', 'ITGA8']",0.0548045895993709
4.1,CrossArea_cluster,L5/6 NP_5,227,0.5566600397614314,0.8115942028985508,0.2466960352422907,34166,13,171,56,3,"['LMNTD1', 'GDNF-AS1', 'HTR7']","['C3orf52', 'LMNTD1', 'IFNG-AS1', 'NPSR1', 'GDNF-AS1', 'HTR7', 'SEMA5B', 'HTR2C', 'HS3ST4', 'TSHZ2']",0.1863519549369812
4.1,CrossArea_cluster,L5/6 NP_1,266,0.597667638483965,0.780952380952381,0.3082706766917293,34117,23,184,82,2,"['TRIM22', 'NPSR1-AS1']","['BARX2', 'CD36', 'TRIM22', 'NPSR1-AS1', 'QRFPR', 'FER1L6-AS2', 'CLMN', 'SMIM43', 'HTR2C', 'MEIS2']",0.2087467610836029
4.1,CrossArea_cluster,L5/6 NP_4,21,0.6164383561643836,0.6923076923076923,0.4285714285714285,34381,4,12,9,3,"['AACSP1', 'PDLIM1', 'SPATA22']","['AACSP1', 'PDLIM1', 'FSHR', 'OR3A1', 'BARX2', 'SPATA22', 'FAM160A1', 'CLMN', 'RMST', 'MKX']",1.0
4.1,CrossArea_cluster,Pvalb_4,286,0.4125412541254125,0.625,0.1748251748251748,34090,30,236,50,3,"['SLC26A4-AS1', 'SULF1', 'MT-ND4L']","['LRRC38', 'PVALB', 'SLC26A4-AS1', 'SULF1', 'MT-ND4L', 'SNCG', 'RGS5_ENSG00000143248', 'CRHBP', 'CEMIP', 'TAC1']",0.072109542787075
4.1,CrossArea_cluster,Pvalb_8,271,0.5229793977812995,0.7333333333333333,0.2435424354243542,34111,24,205,66,3,"['HOMER3', 'CA8', 'SULF1']","['OSTN', 'HOMER3', 'CA8', 'C1QL1', 'LBH', 'SULF1', 'DPP10-AS3', 'TAC1', 'FLRT3', 'NMNAT3']",0.2083534896373748
4.1,CrossArea_cluster,Pvalb_9,103,0.5410821643286573,0.5454545454545454,0.5242718446601942,34258,45,49,54,2,"['LRRC38', 'PVALB']","['LRRC38', 'PVALB', 'KCNC3', 'SYT2', 'SULF1', 'VAMP1', 'NEFH', 'SNCG', 'LGI3', 'KCNA1']",0.3127001523971557
4.1,CrossArea_cluster,Pvalb_7,13,0.6060606060606061,0.8,0.3076923076923077,34392,1,9,4,3,"['ISG20', 'IDI2-AS1', 'PVALB']","['ISG20', 'LRRC38', 'POSTN', 'IDI2-AS1', 'PVALB', 'EAF2', 'SULF1', 'PXDNL', 'NEAT1', 'HS3ST2']",0.203096717596054
4.1,CrossArea_cluster,Pvalb_6,272,0.3598484848484848,0.3877551020408163,0.2794117647058823,34014,120,196,76,4,"['POSTN', 'SULF1', 'RNF144B', 'MYO5B']","['POSTN', 'SULF1', 'DPP10-AS3', 'CEMIP', 'RNF144B', 'MYO5B', 'IL1RAP', 'ADAMTS17', 'CNTNAP3', 'EPB41']",0.0580118745565414
4.1,CrossArea_cluster,Pvalb_5,293,0.630901287553648,0.6743119266055045,0.5017064846416383,34042,71,146,147,3,"['HGF', 'COBLL1', 'PLCE1']","['MEPE', 'KCNK13', 'HGF', 'COBLL1', 'GPC5', 'PLCE1', 'PDGFC', 'SLIT3', 'CDH6', 'ADAMTS17']",0.0707324594259262
4.1,CrossArea_cluster,Pvalb_2,294,0.7545271629778671,0.8571428571428571,0.5102040816326531,34087,25,144,150,3,"['MYBPC1', 'SEMA3C', 'GPC5']","['MYBPC1', 'BCHE', 'HGF', 'SEMA3C', 'HTR2A', 'GPC5', 'FAT4', 'PTPRK', 'RUNX2', 'TRPM3']",0.0528044067323207
4.1,CrossArea_cluster,Pvalb_1,243,0.6258992805755396,0.7699115044247787,0.3580246913580246,34137,26,156,87,2,"['MYBPC1', 'ANKRD34B']","['MYBPC1', 'ANKRD34B', 'MEPE', 'FILIP1', 'CREB5', 'PHLDB2', 'GPR149', 'SVIL', 'IL1RAPL2', 'RIT2']",0.4951926469802856
