CrossArea_cluster,mean,std,median,count,q1,q3,f_score
L5 ET_3,0.8260737000745705,0.03592996753821792,0.8310196142310973,7,0.804240582462322,0.8515267410544409,0.8695652173913043
L6b_3,0.7706371771434537,0.09646338458272175,0.812896912319044,61,0.7311810750218043,0.8310571739571264,0.6521739130434783
Pax6_4,0.730515721485778,0.18436826580348442,0.7933048878077529,290,0.7498404031106671,0.8095254882433263,0.7838479809976246
Oligo_1,0.7265430217286807,0.13881761190607944,0.7775695025264584,81,0.6892627521455675,0.8156130186598286,0.2375152253349573
Sst Chodl_1,0.6606564807458446,0.3667230473802391,0.7546992699309794,320,0.7350388752146136,0.7691227393077401,0.8793969849246231
Endo_1,0.7062452778588842,0.11561360919241277,0.7478443251096897,58,0.6942176466305332,0.7749118127357596,0.6880733944954128
L6 IT Car3_1,0.6815906491521296,0.14418364872476222,0.7451947124628948,68,0.6336264713488063,0.772556714138369,0.6976744186046512
Vip_12,0.6239236996623754,0.21717877050543508,0.6897538110523792,192,0.6078049749435682,0.7415115296826096,0.5640243902439024
Pvalb_2,0.6369675533498341,0.12437813850837308,0.6816298648387279,294,0.5854298249259577,0.7150533250853155,0.7545271629778671
L5/6 NP_2,0.5762812802649512,0.2456429068878066,0.6793912630650804,113,0.5598721913511646,0.7079604437394009,0.5105105105105106
L5/6 NP_6,0.6163562109408237,0.180321482703491,0.6686518188414119,498,0.5932375576245669,0.7049236759862334,0.7356857523302264
Pax6_1,0.5297847152632338,0.30543660394999905,0.6624796157253672,347,0.5201972683887903,0.6967239803892009,0.7236268526591108
Sst_19,0.5650733394479308,0.3028050272588875,0.6384627744802059,295,0.5968505661058203,0.668344432591752,0.7568533969010727
VLMC_1,0.43382918025538847,0.3438814343981643,0.6199996278359887,87,0.3026077115070487,0.6707812211382621,0.8761329305135952
Oligo_3,0.5633388761836108,0.1925783543071686,0.616703346203041,179,0.5232423940754695,0.6745059890087317,0.6687898089171974
Sst_36,0.4763279383310592,0.23970933905943112,0.5884851096973176,316,0.4290539896946449,0.6268317817316397,0.5824372759856631
Pvalb_1,0.4593154275153949,0.2705811847801933,0.5800039429446789,243,0.42882470350375496,0.626332804253519,0.6258992805755396
VLMC_2,0.47947705649336825,0.28708361329992693,0.575835149189298,222,0.4475327229515329,0.663582371449071,0.8622559652928417
L5/6 NP_4,0.46175049251235784,0.2437283534021572,0.568794555879082,21,0.4110435668298722,0.6278514851615474,0.6164383561643836
L6 IT_1,0.4560997004685624,0.22199566814747793,0.5490012155766572,53,0.3436344374871591,0.6020210648121418,0.6390977443609023
Endo_2,0.4375230479597359,0.3253661067914852,0.5429719811588134,284,0.4206621735659211,0.6379125562610076,0.8466312056737588
Pax6_2,0.48765966221566975,0.1838782988396523,0.5424400689705878,290,0.4116380137493452,0.6101155605778151,0.7642487046632125
Vip_15,0.40099546166263295,0.29559470583101266,0.532258344313387,295,0.29713603560539853,0.6125239029111518,0.6314580941446614
L6b_5,0.47670610457703533,0.15899523289631415,0.5305451053958183,191,0.3847898314885054,0.5948431872520656,0.6358768406961178
L5 ET_1,0.40824471960873787,0.2521773322674593,0.5087551312108591,491,0.40157683693155444,0.5506771265935658,0.7983193277310925
L5 IT_1,0.37635974369876,0.23444923346181312,0.46656935291869456,122,0.2654701291149697,0.5464390961598069,0.6375838926174496
Sncg_8,0.3955817401826574,0.20319552219166073,0.4649222961659438,139,0.2877180631647699,0.5571982285892021,0.5045871559633027
Vip_23,0.3749339819039835,0.2540147123545973,0.4542344532173356,223,0.25909522755167486,0.553756583731171,0.5527318932655655
Vip_21,0.3847670508966252,0.222940183270779,0.4511415626214703,261,0.359020946044501,0.5102547039132712,0.723404255319149
Lamp5_1,0.37640095663453665,0.2424433667137238,0.4413218812536115,339,0.27444715822463206,0.5584515692474115,0.5245428296438883
Astro_5,0.3615901785771403,0.2621181397146391,0.4356598187927724,230,0.2686128534203815,0.55355274023327,0.7561307901907357
L6 IT Car3_2,0.3324844162276441,0.2548724979412528,0.4345209856586207,156,0.26353172540256115,0.5114575171075986,0.6847826086956522
L6b_1,0.3677748446828471,0.2259462732208785,0.43414500701204295,34,0.2538113787058638,0.5237862550952294,0.5319148936170213
Sst_3,0.3907481035545267,0.15042868838627432,0.4339367516606177,7,0.3473618691391187,0.48186070947715753,0.6666666666666666
Sst_2,0.26597238935471823,0.3189311274805251,0.406792791136918,264,0.1391699755729804,0.5069983612439712,0.5247641509433962
Lamp5_6,0.33429438117688803,0.21937815946946473,0.3960238543175531,288,0.223325968642218,0.510279476824545,0.6314432989690721
L5/6 NP_5,0.2616530678554535,0.2802907238813102,0.3819811311412797,227,0.0805621736676917,0.4674016291806956,0.5566600397614314
Sst_6,0.3221787515939728,0.1364012087815365,0.367776005713915,7,0.3082123516853762,0.40103339226625456,0.3703703703703703
Vip_27,0.2825787609943604,0.2603200323169208,0.3607632205010074,257,0.1330561421254239,0.4977471043339214,0.5644090305444888
