gene,0,1,11,14,15,16,17_21,18,19,20,3,4,9,AII,AII*,Astrocyte,BB,CAI,CAII,DB1,DB2,DB3a,DB3b,DB4a,DB4b,DB5,DB6,FMB,GB,H1,H2,HAC11,HAC12,HAC13,HAC14,HAC15,HAC17,HAC18,HAC19,HAC2,HAC20,HAC21,HAC23,HAC24,HAC26,HAC27,HAC28,HAC29,HAC3,HAC30,HAC32,HAC33,HAC34,HAC35,HAC37,HAC38,HAC39,HAC4,HAC40,HAC41,HAC42,HAC44,HAC45,HAC46,HAC48,HAC49,HAC5,HAC50,HAC51,HAC52,HAC53,HAC54,HAC55,HAC56,HAC57,HAC59,HAC6,HAC60,HAC62,HAC63,HAC64,HAC65,HAC66,HAC68,HAC71,HAC72,HAC74,HAC75,HAC77,HAC78,HAC79,HAC8,HAC80,HAC81,HAC82,HAC84,HAC86,HAC87,HAC88,HAC89,HAC9,HAC90,HAC91,HAC92,HAC93,HAC95,HRGC3,HRGC4,HRGC5,IMB,MG,MG_OFF,MG_ON,ML_Cone,Microglia,OFF-SAC,OFF-SAC*,OFFx,ON-SAC,ON_DSGC,PENK,PG_OFF_1,PG_OFF_2,PG_ON,RB,Rod,SEG,SEG*,S_Cone,VG3,VG3*,VIP,ipRGC_1,ipRGC_2,nNOS
PRKAA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895948,0.3266345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12271541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24918722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21591273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLCXD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4257956,0.36297864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99637926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21426387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5712481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0374024,0.0,0.0,0.0
OXCT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25176647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30004895,0.0,0.5336535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357652,0.0,0.0,0.19477417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35952806,0.0,0.0,0.0,0.2519622,0.0,0.0,0.23296705,0.0,0.0,0.0,0.0,0.0,0.26860917,0.36948052,0.0,0.0,0.0,0.0,0.17771494,0.0,0.13649908,0.06521942,0.0,0.19856969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27026218,0.0,0.0,0.0
GHR,0.0,0.0,0.102635555,0.0,0.88337225,0.9178048,0.0,0.0,0.0,0.0,0.0,0.0,0.6989194,0.7772303,0.5670078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002981,0.0,0.6448894,0.0,0.0,0.0,0.0,0.0,0.60612726,0.0,0.46412632,0.0,0.0,0.83929515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1128957,0.0,0.0,0.0,0.0,0.82479626,0.0,0.0,0.0,0.49904868,0.0,0.0,0.0,0.0,0.0,0.1855749,0.0,0.0,0.0,0.320901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50658035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3284155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF131,0.56305516,0.41495165,0.5661485,0.6033836,0.5927359,0.12558424,0.6029336,0.56370693,0.61330545,0.6407141,0.5455961,0.5513952,0.6500194,0.0,0.3265425,0.0,0.0,0.3115845,0.32477617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28766364,0.27798796,0.0,0.0,0.3136143,0.0,0.0,0.2588886,0.0,0.38015,0.3841953,0.0,0.31945136,0.3198828,0.3006039,0.26786345,0.30896443,0.0,0.0,0.0,0.24529947,0.25516337,0.0,0.30547947,0.0,0.0,0.36421797,0.0,0.0,0.32775125,0.0,0.0,0.0,0.36879593,0.0,0.0,0.25927818,0.31994087,0.0,0.0,0.3314849,0.289965,0.3348472,0.3421231,0.08164439,0.28517896,0.27402914,0.22094925,0.35674036,0.0,0.26729336,0.26384425,0.31025362,0.29173395,0.315011,0.31822845,0.39981708,0.24229358,0.1366345,0.32087752,0.0,0.0,0.0,0.0,0.23911792,0.0,0.0,0.0,0.0,0.45166332,0.51932794,0.0,0.0,0.0,0.27990377,0.0,0.0,0.6607037,0.0,0.60192376,0.6103418,0.5813018,0.0,0.0,0.0,0.24152198,0.0,0.0,0.0,0.0,0.64797205,0.48760837,0.27401775
NIM1K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29422253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24310368,0.0,0.0,0.0,0.0,0.0,0.0,0.22535047,0.0,0.33226365,0.0,0.0,0.0,0.0,0.0,0.26982158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGCS1,1.1348857,1.1402127,1.1397438,1.2793616,1.3411739,0.9927787,1.1689996,1.1705824,1.3899807,0.99206156,1.4917151,1.1914268,1.0101975,0.0,0.0,0.0,0.0,0.5295899,0.7522486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937531,0.0,0.73267806,0.0,0.5699483,0.0,1.0244966,0.0,0.0,0.7376634,0.53925246,0.6462717,0.9138361,0.5184325,0.0,0.6693627,0.0,0.96258116,0.21396208,0.61135554,0.37326634,0.48484915,0.0,0.62821317,0.52797925,0.34273228,0.3450211,0.33857888,0.90563893,0.0,0.4567586,0.24273434,0.0,0.0,0.0,0.5562209,0.564826,0.4748626,0.0,0.4668958,0.0,0.50944245,0.7375346,0.8847267,0.45664233,0.5618788,0.5999402,0.18173012,0.32605666,0.0,0.0,0.6185059,0.2926587,0.75442415,0.34419373,0.0,0.42007646,0.0,0.46767485,0.6041126,0.0,0.7119827,0.8061856,0.66447026,0.27725944,0.30062762,0.85397416,0.0,0.41884607,0.4888903,0.18868801,0.6430563,0.5050241,0.0,0.43203473,1.1778533,0.0,0.6025522,0.0,0.0,1.2143428,1.1985636,0.0,0.0,0.0,0.0,0.0,0.0,1.1519958,0.79352415,0.9284921,0.92692876,1.302249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39932406,1.2107743,1.3833392,0.0
NNT-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29825082,0.413738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48435676,0.4737159,0.3521556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNT,0.6867345,0.0,0.6172223,0.7180371,0.50806755,0.44160846,0.6933473,0.52225447,0.7833757,0.63454056,0.6211698,0.4923965,0.40314937,0.0,0.24633288,0.0,0.0,0.206195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25096318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35301346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28118107,0.0,0.0,0.26933122,0.0,0.0,0.24291936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3083286,0.0,0.0,0.20974506,0.0,0.0,0.0,0.0,0.0,0.24116868,0.0,0.0,0.0,0.0,0.66569895,0.7079307,0.0,0.0,0.0,0.0,0.0,0.0,0.5281816,0.0,0.7315143,0.72963136,0.78006506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5964128,0.48987442,0.0
