cluster,n_cells,percentage
AT1,15141,13.94
AT2,39466,36.34
Artery,5382,4.96
B Cells,290,0.27
Basophil and Mast Cells,1602,1.47
Capillary,6989,6.43
Ciliated Cells,2299,2.12
Lymphatic  Cells,2014,1.85
Macrophage and Dendritic Cells,4153,3.82
Macrophages,9722,8.95
Monocytes,4596,4.23
Natural Killer Cells,2495,2.3
Neutrophils,2301,2.12
Other Epithelial Cells,505,0.46
Proliferating Macrophage,492,0.45
Stromal Cells,2920,2.69
T Cells,4889,4.5
Vein,3357,3.09
