clusterName,NSForest_markers,f_score,onTarget,precision,recall
Renin-positive Juxtaglomerular Granular Cell,['REN'],0.9541984732824428,1.0,0.9433962264150944,1.0
Vascular Smooth Muscle Cell / Pericyte,"['MAP1B', 'PDGFRB']",0.5067567567567568,0.3093965351581573,0.6,0.3125
Parietal Epithelial Cell,"['ADGRG6', 'CFH']",0.6372549019607843,0.8684563636779785,1.0,0.26
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,"['PAH', 'GATM']",0.7017543859649122,0.6805351376533508,1.0,0.32
Degenerative Proximal Tubule Epithelial Cell,"['ENSG00000259579', 'KCNK5', 'ENSG00000259347']",0.6818181818181818,1.0,0.8076923076923077,0.42
Proximal Tubule Epithelial Cell Segment 3,"['SLC28A1', 'C1QTNF7-AS1']",0.7246376811594203,0.7617336511611938,0.9090909090909092,0.4
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,"['ENSG00000284377', 'DLGAP1']",0.6790123456790124,0.4004001021385193,0.7857142857142857,0.44
Degenerative Fibroblast,"['LUM', 'COL6A2']",0.8116883116883117,1.0,0.9615384615384616,0.5
Degenerative Vascular Smooth Muscle Cell,"['TPM2', 'SOD3']",0.8620689655172413,1.0,0.967741935483871,0.6
Cycling Natural Killer Cell / Natural Killer T Cell,"['PCLAF', 'SH2D1A']",0.8928571428571429,1.0,1.0,0.625
Natural Killer Cell / Natural Killer T Cell,"['NKG7', 'CCL4']",0.7795698924731183,1.0,0.8529411764705882,0.58
Afferent / Efferent Arteriole Endothelial Cell,"['SERPINE2', 'ICAM2']",0.6185567010309279,1.0,1.0,0.2448979591836734
Glomerular Capillary Endothelial Cell,"['SOST', 'CRHBP']",0.746268656716418,1.0,0.9523809523809524,0.4
Peritubular Capilary Endothelial Cell,"['DNASE1L3', 'FLT1']",0.5844155844155844,0.5930145382881165,0.6923076923076923,0.36
Plasmacytoid Dendritic Cell,['LINC01478'],0.9009009009009008,1.0,1.0,0.6451612903225806
Classical Dendritic Cell,['IDO1'],0.8536585365853658,1.0,0.8974358974358975,0.7142857142857143
Cycling Mononuclear Phagocyte,"['PRIM2', 'IKZF1', 'CEP192']",0.4878048780487805,0.1946847140789032,0.631578947368421,0.2553191489361702
M2 Macrophage,"['MRC1', 'SLCO2B1']",0.7142857142857143,1.0,0.9473684210526316,0.36
Monocyte-derived Cell,"['CSF2RA', 'AOAH', 'TBXAS1']",0.3875968992248062,0.2851990461349487,0.5,0.2040816326530612
Mast Cell,['SLC24A3'],0.8908045977011494,0.7994572520256042,1.0,0.62
Plasma Cell,"['MEI1', 'TENT5C']",0.7894736842105263,1.0,1.0,0.4285714285714285
Schwann Cell / Neural,['NRXN1'],0.9523809523809524,1.0,1.0,0.8
Medullary Fibroblast,"['GABRG3', 'ENSG00000259275']",0.7092198581560284,1.0,0.8695652173913043,0.4081632653061224
Adaptive / Maladaptive / Repairing Fibroblast,"['TNXB', 'FBLN1', 'FLRT2']",0.594059405940594,0.4288089275360107,0.9230769230769232,0.2448979591836734
Fibroblast,"['LPAR1', 'C7']",0.5670103092783505,0.3775143027305603,0.6111111111111112,0.44
Myofibroblast,"['ITGBL1', 'ENSG00000249669']",0.6363636363636364,0.669406533241272,0.9333333333333332,0.28
Cycling Myofibroblast,"['CENPK', 'BRIP1', 'DTL', 'CENPI']",0.4285714285714285,1.0,0.4615384615384615,0.3333333333333333
