clusterName,gene
Cycling Natural Killer Cell / Natural Killer T Cell,PCLAF
Cycling Natural Killer Cell / Natural Killer T Cell,SH2D1A
Natural Killer Cell / Natural Killer T Cell,NKG7
Natural Killer Cell / Natural Killer T Cell,CCL4
Afferent / Efferent Arteriole Endothelial Cell,SERPINE2
Afferent / Efferent Arteriole Endothelial Cell,ICAM2
Glomerular Capillary Endothelial Cell,SOST
Glomerular Capillary Endothelial Cell,CRHBP
Peritubular Capilary Endothelial Cell,DNASE1L3
Peritubular Capilary Endothelial Cell,FLT1
Plasmacytoid Dendritic Cell,LINC01478
Classical Dendritic Cell,IDO1
Cycling Mononuclear Phagocyte,PRIM2
Cycling Mononuclear Phagocyte,IKZF1
Cycling Mononuclear Phagocyte,CEP192
M2 Macrophage,MRC1
M2 Macrophage,SLCO2B1
Monocyte-derived Cell,CSF2RA
Monocyte-derived Cell,AOAH
Monocyte-derived Cell,TBXAS1
Mast Cell,SLC24A3
Plasma Cell,MEI1
Plasma Cell,TENT5C
Schwann Cell / Neural,NRXN1
Medullary Fibroblast,GABRG3
Medullary Fibroblast,ENSG00000259275
Adaptive / Maladaptive / Repairing Fibroblast,TNXB
Adaptive / Maladaptive / Repairing Fibroblast,FBLN1
Adaptive / Maladaptive / Repairing Fibroblast,FLRT2
Fibroblast,LPAR1
Fibroblast,C7
Myofibroblast,ITGBL1
Myofibroblast,ENSG00000249669
Cycling Myofibroblast,CENPK
Cycling Myofibroblast,BRIP1
Cycling Myofibroblast,DTL
Cycling Myofibroblast,CENPI
