cluster,n_cells,percentage
T cell,214,0.61
club cell,2000,5.74
glandular secretory epithelial cell,5310,15.24
ionocyte,341,0.98
keratinizing barrier epithelial cell,820,2.35
keratinocyte,77,0.22
nasal mucosa goblet cell,2814,8.08
professional antigen presenting cell,84,0.24
respiratory basal cell,5004,14.37
respiratory tract epithelial cell,13707,39.35
respiratory tract multiciliated cell,4462,12.81
