cluster,n_cells,percentage
AT1,335,0.94
AT2,1296,3.62
Artery_cell,587,1.64
B_cell,367,1.03
CD4T,7178,20.05
CD8T,2599,7.26
Capillary_Cell,4401,12.29
Cilia,1054,2.94
Club/Basal,134,0.37
DC1,1191,3.33
DC2,485,1.35
Fibroblast,2281,6.37
Lymphatic_Cell,137,0.38
Macrophage,2287,6.39
Mast_cell,1220,3.41
Mono,1789,5.0
NK/NKT,5679,15.86
Neutrophil,357,1.0
Plasma_cell,209,0.58
Prolif.immune,191,0.53
SM/Pericyte,836,2.34
Vein_cell,1186,3.31
