cluster,n_cells,percentage
cardiac muscle cell,2638,29.48
endothelial cell,1213,13.56
fibroblast,2582,28.86
leukocyte,1408,15.74
mesothelial cell of epicardium,911,10.18
neuron,112,1.25
smooth muscle cell,83,0.93
