author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
0,0.7545338086297245,0.17288054242567333,0.7964384640016123,473
1,0.7650729406236743,0.12676300120736994,0.8166676383452477,195
11,0.7773004127617664,0.1894846421702355,0.8339879470221576,470
14,0.6227942722687051,0.3278865238780782,0.7673835469597459,128
15,0.7176355987848245,0.1481181962683417,0.7643681219658823,235
16,0.35610218387078996,0.35171910613368207,0.49600891147416576,50
17_21,0.49685125866932617,0.2326402121128829,0.5580841445278609,591
18,0.7080559827994135,0.19341453189317873,0.7751123717617433,159
19,0.5788645101331806,0.24663647654261336,0.6716111600338093,345
20,0.780720498094389,0.14163298257203663,0.8279902182948368,138
3,0.6043735387820633,0.3598587478946295,0.77444831523774,187
4,-0.5818185314444184,0.14830373931593654,-0.5877928568408997,208
9,0.5068141535493104,0.23110203977962315,0.5978533024084324,96
AII,0.21729555071642484,0.2905883224858217,0.3329796787685834,5000
AII*,0.3008150415277043,0.2988932849008446,0.4325365259434051,1057
Astrocyte,0.5815004780264154,0.17218652685559513,0.6351257053824207,5000
BB,0.5839964755396757,0.2905754107435684,0.7005139829619441,2931
CAI,-0.13117545217102625,0.32295950506933746,-0.03243294599246515,450
CAII,0.5170141001904135,0.2598819051171032,0.6300692040095494,3865
DB1,0.5860360167879376,0.18977574746154813,0.6376788912202591,5000
DB2,0.5345809788179381,0.1646140920117896,0.583696419310914,5000
DB3a,0.5781141749907914,0.17524625074671343,0.6160676184047731,5000
DB3b,0.6382653712788697,0.15186535919851651,0.6800674504262674,5000
DB4a,0.33835188433416064,0.23420992905100887,0.4144314443003455,5000
DB4b,0.5856341626637578,0.2637150492492444,0.6862543095221203,4553
DB5,0.6010284931606278,0.16681548029458057,0.6418042501773569,5000
DB6,0.6100340123825124,0.17555903440212117,0.6551966763595635,5000
FMB,0.49376894039417385,0.19089977048430085,0.5498768942657396,5000
GB,0.3440842510849614,0.2659377026501797,0.46302480701572746,5000
H1,0.42623348616626644,0.23846169259510577,0.5206146382278207,5000
H2,0.6618938191056433,0.17022272279916822,0.7008153907966315,5000
HAC11,0.44459075882084137,0.2441110614056332,0.5347793236498369,5000
HAC12,0.48545399632614106,0.28609705244601524,0.5874371469075148,5000
HAC13,0.24881507947286205,0.3319514257502346,0.3928584953781337,5000
HAC14,0.38839451469984104,0.26414280753714797,0.49236568778229606,5000
HAC15,0.012363359136199141,0.31465522545942853,0.12890857952787538,5000
HAC17,0.5015706081554177,0.2578598051184423,0.586448221472964,5000
HAC18,0.40517330835996596,0.25205188700244335,0.4879438711993027,5000
HAC19,0.26962851121805775,0.2373955333417996,0.355863760174849,5000
HAC2,0.29828362377069123,0.3064501013472422,0.44202493287481953,5000
HAC20,0.4011998522243589,0.26585188456966724,0.5127009242758221,5000
HAC21,0.6233672114222599,0.25793752407197945,0.6982770876980657,5000
HAC23,0.3170952487250972,0.25400080842627487,0.3978040384255444,5000
HAC24,0.17882610211839212,0.21671754545774355,0.2478423512203229,5000
HAC26,0.5187598367955407,0.2905139433380071,0.6244266464614958,5000
HAC27,0.2791253929437556,0.3179797392823097,0.4120977309345124,5000
HAC28,0.2892272654709255,0.32857296877534903,0.4383246931420566,5000
HAC29,0.5788964694124954,0.2879866335740287,0.6919426662339414,5000
HAC3,0.16121843743501443,0.26857772617118153,0.27133751223913144,5000
HAC30,0.26703193722098284,0.3249540508218861,0.3870808871635165,4936
HAC32,0.3193062662279136,0.32250876521097493,0.47033800525862723,4645
HAC33,0.5281026333722643,0.28756737755746076,0.627519928919859,4613
HAC34,0.26668921573247495,0.358211717996211,0.4231120930297696,4222
HAC35,0.6263691136549064,0.16607940366097673,0.6712659005209003,3872
HAC37,0.4700250163598326,0.25320481279733364,0.5664379287366398,3831
HAC38,0.4638334706450396,0.29970211410713604,0.5776400454426888,3814
HAC39,0.2088362206271167,0.3575860330783259,0.3482093943785832,3140
HAC4,-0.00447275543422862,0.1892518801530765,0.05003566453536855,5000
HAC40,0.24795115714090613,0.41381741638014474,0.48854250133351734,3095
HAC41,0.22928130442443728,0.33197509118449353,0.40259458279080584,3032
HAC42,0.3601037008977054,0.2809911484199534,0.4766749320214668,2695
HAC44,0.3017172971504182,0.2463522812725902,0.38272877571636504,2576
HAC45,0.363702461426599,0.21869549099112542,0.4332722050268504,2312
HAC46,0.43920108924807555,0.2518850005542583,0.5268489768945619,2299
HAC48,0.3478795614857159,0.31647501475899353,0.4824659135591321,2215
HAC49,0.4388551316576823,0.2319942231774129,0.516970573421717,2031
