cluster,n_cells,percentage
C_BEST4,477,3.79
C_EEC,82,0.65
C_ISC,385,3.06
C_TA,518,4.11
C_earlyACC,1464,11.63
C_goblet,1189,9.44
C_lateACC,552,4.38
C_secretory_prog,63,0.5
C_tuft,524,4.16
SI_AE2,591,4.69
SI_BEST4,339,2.69
SI_EEC,72,0.57
SI_FAE,19,0.15
SI_ISC,873,6.93
SI_TA,397,3.15
SI_TA2,105,0.83
SI_earlyAE,1237,9.83
SI_goblet,388,3.08
SI_intermAE,1443,11.46
SI_matureAE,1569,12.46
SI_paneth,49,0.39
SI_secretory_prog,70,0.56
SI_tuft,184,1.46
