cluster,n_cells,percentage
WNT1,1759,4.09
basal1,6599,15.33
basal2,10014,23.26
channel,737,1.71
folicular,3294,7.65
granular,209,0.49
immune,399,0.93
melanocyte,1366,3.17
mitotic,1738,4.04
spinous,16939,39.34
